ANTARSEEDS;
SAMPLE;PHOTO NAME
005;C_QUITENSIS_0047_X11800um_Y19800um_f2
005;C_QUITENSIS_0047_X11800um_Y19800um_f1
005;C_QUITENSIS_0047_X11800um_Y19800um_f0
005;C_QUITENSIS_0044_X11800um_Y19800um_f2
005;C_QUITENSIS_0044_X11800um_Y19800um_f1
005;C_QUITENSIS_0044_X11800um_Y19800um_f0
007;D_ANTARTICA_0036_X10000um_Y17000um_f2
007;D_ANTARTICA_0036_X10000um_Y17000um_f1
007;D_ANTARTICA_0036_X10000um_Y17000um_f0
010;T_REPENS_0042_X19000um_Y18400um_f2
010;T_REPENS_0042_X19000um_Y18400um_f1
010;T_REPENS_0042_X19000um_Y18400um_f0
